season,game_number,team_name,date,pull_period,pull_time,goal_for_time,goal_against_time,goal_for_timedelta,goal_against_timedelta,game_end_timedelta
20062007,376,STL,2006-12-01,3,0 days 00:19:01.000000000,,0 days 00:19:14.000000000,,0 days 00:00:13.000000000,
20062007,1093,STL,2007-03-20,3,0 days 00:18:45.000000000,,0 days 00:19:43.000000000,,0 days 00:00:58.000000000,
20062007,1139,NYI,2007-03-27,3,0 days 00:19:22.000000000,,,,,0 days 00:00:38.000000000
20062007,225,PHX,2006-11-09,3,0 days 00:18:41.000000000,,,,,0 days 00:01:19.000000000
20062007,360,PHI,2006-11-29,3,0 days 00:18:49.000000000,,,,,0 days 00:01:11.000000000
20062007,858,MTL,2007-02-14,3,0 days 00:18:44.000000000,,0 days 00:19:17.000000000,,0 days 00:00:33.000000000,
20062007,272,L.A,2006-11-16,3,0 days 00:18:50.000000000,,,,,0 days 00:01:10.000000000
20062007,767,DAL,2007-01-30,3,0 days 00:19:06.000000000,0 days 00:19:57.000000000,,0 days 00:00:51.000000000,,
20062007,337,FLA,2006-11-25,3,0 days 00:19:08.000000000,,,,,0 days 00:00:52.000000000
20062007,623,STL,2007-01-06,3,0 days 00:18:47.000000000,,,,,0 days 00:01:13.000000000
20062007,789,ATL,2007-02-03,3,0 days 00:18:10.000000000,,0 days 00:18:56.000000000,,0 days 00:00:46.000000000,
20062007,336,WSH,2006-11-25,3,0 days 00:18:39.000000000,,0 days 00:19:13.000000000,,0 days 00:00:34.000000000,
20062007,224,STL,2006-11-09,3,0 days 00:18:42.000000000,,,,,0 days 00:01:18.000000000
20062007,361,MIN,2006-11-29,3,0 days 00:19:41.000000000,,,,,0 days 00:00:19.000000000
20062007,731,T.B,2007-01-26,3,0 days 00:18:59.000000000,,0 days 00:19:17.000000000,,0 days 00:00:18.000000000,
20062007,731,T.B,2007-01-26,3,0 days 00:19:48.000000000,,,,,0 days 00:00:12.000000000
20062007,418,L.A,2006-12-07,3,0 days 00:15:59.000000000,,,,,0 days 00:04:01.000000000
20062007,1138,OTT,2007-03-27,3,0 days 00:19:01.000000000,,,,,0 days 00:00:59.000000000
20062007,398,NYI,2006-12-05,3,0 days 00:19:26.000000000,,,,,0 days 00:00:34.000000000
20062007,662,CBJ,2007-01-12,3,0 days 00:18:39.000000000,,,,,0 days 00:01:21.000000000
20062007,1207,VAN,2007-04-05,3,0 days 00:18:33.000000000,,,,,0 days 00:01:27.000000000
20062007,727,S.J,2007-01-20,3,0 days 00:18:27.000000000,,,,,0 days 00:01:33.000000000
20062007,1084,PHX,2007-03-18,3,0 days 00:17:29.000000000,0 days 00:18:27.000000000,,0 days 00:00:58.000000000,,
20062007,818,ANA,2007-02-07,3,0 days 00:18:55.000000000,,,,,0 days 00:01:05.000000000
20062007,265,COL,2006-11-15,3,0 days 00:18:09.000000000,,,,,0 days 00:01:51.000000000
20062007,635,NYR,2007-01-09,3,0 days 00:19:36.000000000,,,,,0 days 00:00:24.000000000
20062007,770,PHX,2007-01-31,3,0 days 00:19:09.000000000,,,,,0 days 00:00:51.000000000
20062007,1196,ATL,2007-04-04,3,0 days 00:18:50.000000000,,,,,0 days 00:01:10.000000000
20062007,459,N.J,2006-12-14,3,0 days 00:18:34.000000000,,0 days 00:18:50.000000000,,0 days 00:00:16.000000000,
20062007,567,COL,2006-12-29,3,0 days 00:18:56.000000000,,0 days 00:19:29.000000000,,0 days 00:00:33.000000000,
20062007,422,DAL,2006-12-08,3,0 days 00:18:31.000000000,,,,,0 days 00:01:29.000000000
20062007,971,MTL,2007-03-02,3,0 days 00:19:23.000000000,,0 days 00:19:36.000000000,,0 days 00:00:13.000000000,
20062007,249,CAR,2006-11-13,3,0 days 00:17:48.000000000,,0 days 00:19:00.000000000,,0 days 00:01:12.000000000,
20062007,160,T.B,2006-10-29,3,0 days 00:18:27.000000000,,0 days 00:18:39.000000000,,0 days 00:00:12.000000000,
20062007,160,T.B,2006-10-29,3,0 days 00:19:04.000000000,,,,,0 days 00:00:56.000000000
20062007,926,NYR,2007-02-24,3,0 days 00:18:55.000000000,,,,,0 days 00:01:05.000000000
20062007,475,BOS,2006-12-16,3,0 days 00:18:05.000000000,,0 days 00:18:22.000000000,,0 days 00:00:17.000000000,
20062007,526,NYR,2006-12-23,3,0 days 00:19:08.000000000,,,,,0 days 00:00:52.000000000
20062007,176,EDM,2006-11-01,3,0 days 00:18:47.000000000,0 days 00:18:56.000000000,,0 days 00:00:09.000000000,,
20062007,176,EDM,2006-11-01,3,0 days 00:19:26.000000000,,0 days 00:19:56.000000000,,0 days 00:00:30.000000000,
20062007,199,STL,2006-11-04,3,0 days 00:18:48.000000000,,,,,0 days 00:01:12.000000000
20062007,463,CHI,2006-12-14,3,0 days 00:19:18.000000000,,,,,0 days 00:00:42.000000000
20062007,1006,PHI,2007-03-08,3,0 days 00:18:28.000000000,,,,,0 days 00:01:32.000000000
20062007,930,NSH,2007-02-24,3,0 days 00:18:52.000000000,0 days 00:18:56.000000000,,0 days 00:00:04.000000000,,
20062007,571,NYI,2006-12-30,3,0 days 00:19:43.000000000,,0 days 00:19:50.000000000,,0 days 00:00:07.000000000,
20062007,822,CGY,2007-02-08,3,0 days 00:19:22.000000000,,,,,0 days 00:00:38.000000000
20062007,967,PIT,2007-03-02,3,0 days 00:18:52.000000000,,,,,0 days 00:01:08.000000000
20062007,1051,CGY,2007-03-14,3,0 days 00:19:13.000000000,,,,,0 days 00:00:47.000000000
20062007,1026,STL,2007-03-10,3,0 days 00:19:12.000000000,,,,,0 days 00:00:48.000000000
20062007,506,VAN,2006-12-21,3,0 days 00:18:35.000000000,,,,,0 days 00:01:25.000000000
20062007,156,L.A,2006-10-28,3,0 days 00:18:59.000000000,,,,,0 days 00:01:01.000000000
20062007,1163,NYI,2007-03-30,3,0 days 00:19:45.000000000,,,,,0 days 00:00:15.000000000
20062007,785,WSH,2007-02-03,3,0 days 00:19:05.000000000,,0 days 00:19:22.000000000,,0 days 00:00:17.000000000,
20062007,290,CBJ,2006-11-18,3,0 days 00:19:26.000000000,,,,,0 days 00:00:34.000000000
20062007,1071,PHI,2007-03-17,3,0 days 00:19:37.000000000,,,,,0 days 00:00:23.000000000
20062007,414,BUF,2006-12-07,3,0 days 00:18:56.000000000,,,,,0 days 00:01:04.000000000
20062007,1134,WSH,2007-03-27,3,0 days 00:18:02.000000000,0 days 00:19:28.000000000,,0 days 00:01:26.000000000,,
20062007,1134,WSH,2007-03-27,3,0 days 00:19:39.000000000,,,,,0 days 00:00:21.000000000
20062007,101,CAR,2006-10-20,3,0 days 00:19:52.000000000,,,,,0 days 00:00:08.000000000
20062007,382,DET,2006-12-02,3,0 days 00:19:54.000000000,,0 days 00:19:54.000000000,,0 days 00:00:00.000000000,
20062007,697,NSH,2007-01-17,3,0 days 00:19:20.000000000,,,,,0 days 00:00:40.000000000
20062007,814,OTT,2007-02-07,3,0 days 00:19:32.000000000,,,,,0 days 00:00:28.000000000
20062007,547,WSH,2006-12-27,3,0 days 00:18:35.000000000,,0 days 00:19:15.000000000,,0 days 00:00:40.000000000,
20062007,1122,S.J,2007-03-24,3,0 days 00:18:58.000000000,,0 days 00:19:56.000000000,,0 days 00:00:58.000000000,
20062007,394,S.J,2006-12-04,3,0 days 00:17:57.000000000,,,,,0 days 00:02:03.000000000
20062007,681,L.A,2007-01-15,3,0 days 00:18:34.000000000,,,,,0 days 00:01:26.000000000
20062007,455,L.A,2006-12-12,3,0 days 00:18:27.000000000,,,,,0 days 00:01:33.000000000
20062007,1175,VAN,2007-03-31,3,0 days 00:18:48.000000000,,,,,0 days 00:01:12.000000000
20062007,510,NYR,2006-12-21,3,0 days 00:19:15.000000000,,,,,0 days 00:00:45.000000000
20062007,843,CBJ,2007-02-11,3,0 days 00:19:16.000000000,,,,,0 days 00:00:44.000000000
20062007,18,L.A,2006-10-06,3,0 days 00:19:55.000000000,,,,,0 days 00:00:05.000000000
20062007,793,DAL,2007-02-03,3,0 days 00:17:36.000000000,,,,,0 days 00:02:24.000000000
20062007,8,DET,2006-10-05,3,0 days 00:19:33.000000000,,,,,0 days 00:00:27.000000000
20062007,1227,N.J,2007-04-08,3,0 days 00:18:43.000000000,0 days 00:19:59.000000000,,0 days 00:01:16.000000000,,
20062007,496,WSH,2006-12-19,3,0 days 00:19:44.000000000,,,,,0 days 00:00:16.000000000
20062007,1159,MTL,2007-03-30,3,0 days 00:18:28.000000000,,0 days 00:19:07.000000000,,0 days 00:00:39.000000000,
20062007,183,TOR,2006-11-02,3,0 days 00:18:59.000000000,,0 days 00:19:23.000000000,,0 days 00:00:24.000000000,
20062007,750,ATL,2007-01-28,3,0 days 00:19:12.000000000,,,,,0 days 00:00:48.000000000
20062007,879,NYI,2007-02-17,3,0 days 00:19:32.000000000,,,,,0 days 00:00:28.000000000
20062007,195,OTT,2006-11-04,3,0 days 00:18:42.000000000,,,,,0 days 00:01:18.000000000
20062007,746,STL,2007-01-27,3,0 days 00:17:05.000000000,,0 days 00:18:05.000000000,,0 days 00:01:00.000000000,
20062007,316,NSH,2006-11-22,3,0 days 00:19:13.000000000,,,,,0 days 00:00:47.000000000
20062007,253,COL,2006-11-13,3,0 days 00:19:54.000000000,,,,,0 days 00:00:06.000000000
20062007,1118,ATL,2007-03-24,3,0 days 00:19:12.000000000,,,,,0 days 00:00:48.000000000
20062007,711,DET,2007-01-19,3,0 days 00:18:21.000000000,,,,,0 days 00:01:39.000000000
20062007,654,FLA,2007-01-11,3,0 days 00:18:49.000000000,0 days 00:19:04.000000000,,0 days 00:00:15.000000000,,
20062007,654,FLA,2007-01-11,3,0 days 00:19:18.000000000,,0 days 00:19:47.000000000,,0 days 00:00:29.000000000,
20062007,825,DET,2007-02-08,3,0 days 00:19:09.000000000,,,,,0 days 00:00:51.000000000
20062007,960,WSH,2007-03-01,3,0 days 00:19:06.000000000,0 days 00:19:49.000000000,,0 days 00:00:43.000000000,,
20062007,91,CGY,2006-10-19,3,0 days 00:19:32.000000000,,,,,0 days 00:00:28.000000000
20062007,521,PHI,2006-12-23,3,0 days 00:19:11.000000000,,0 days 00:19:35.000000000,,0 days 00:00:24.000000000,
20062007,1144,COL,2007-03-27,3,0 days 00:18:57.000000000,,0 days 00:19:05.000000000,,0 days 00:00:08.000000000,
